,State,Agency_type,Agency_name,Ethnicity,Disability,Gender,Gender_Identity,Population,quarter_1,quarter_2,quarter_3,quarter_4,vRace,vRel,vSexOr
0,Alabama,Cities,Florence,0,0,0,0,39481,0,1,0,1,2.0,0.0,0.0
1,Alabama,Cities,Hoover,0,0,0,0,84139,0,1,0,0,0.0,0.0,1.0
2,Alabama,Cities,Prattville,0,0,0,0,35154,1,0,1,0,2.0,0.0,0.0
3,Alabama,Cities,Tuscaloosa,0,0,0,0,94126,0,0,1,0,1.0,0.0,0.0
4,Alaska,Cities,Anchorage,0,0,0,0,299455,2,3,3,0,8.0,0.0,0.0
5,Arizona,Cities,Apache Junction,0,0,0,0,36626,1,0,0,0,1.0,0.0,0.0
6,Arizona,Cities,Avondale,1,0,0,0,78905,1,1,3,0,4.0,0.0,0.0
7,Arizona,Cities,Eagar,1,0,0,0,5034,0,1,0,0,0.0,0.0,0.0
8,Arizona,Cities,El Mirage,0,0,0,0,32837,0,0,1,0,1.0,0.0,0.0
9,Arizona,Cities,Gilbert,0,0,0,0,225232,1,0,0,0,1.0,0.0,0.0
10,Arizona,Cities,Glendale,1,0,0,0,234006,2,0,3,2,2.0,3.0,1.0
11,Arizona,Cities,Goodyear,0,0,0,0,71048,1,0,1,0,0.0,0.0,2.0
12,Arizona,Cities,Maricopa,0,0,0,0,44871,0,0,0,1,1.0,0.0,0.0
13,Arizona,Cities,Mesa,0,0,0,0,456155,2,0,0,0,1.0,1.0,0.0
14,Arizona,Cities,Phoenix,14,1,0,0,1502139,25,21,35,0,40.0,12.0,14.0
15,Arizona,Cities,Prescott,1,0,0,0,40752,0,0,0,1,0.0,0.0,0.0
16,Arizona,Cities,Scottsdale,1,0,0,0,225523,0,0,0,2,0.0,1.0,0.0
17,Arizona,Cities,Tempe,0,0,0,0,168501,2,0,1,0,1.0,0.0,2.0
18,Arizona,Cities,Tucson,1,0,0,0,525486,8,8,6,4,13.0,6.0,6.0
19,Arizona,Cities,Yuma,3,0,0,0,96014,3,5,0,2,3.0,4.0,0.0
20,Arizona,Universities and Colleges,Northern Arizona University,0,0,0,0,25991,0,0,0,1,0.0,0.0,1.0
21,Arizona,Universities and Colleges,University of Arizona,0,0,0,0,40223,2,0,0,0,2.0,0.0,0.0
22,Arizona,Metropolitan Counties,Cochise,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0
23,Arizona,Metropolitan Counties,Maricopa,0,0,0,0,0,0,0,0,2,1.0,1.0,0.0
24,Arizona,Metropolitan Counties,Pima,0,0,0,0,0,0,0,0,3,1.0,1.0,1.0
25,Arizona,Metropolitan Counties,Yuma,1,0,0,0,0,0,1,0,1,1.0,0.0,0.0
26,Arkansas,Cities,Bentonville,0,0,0,0,39132,0,0,1,0,1.0,0.0,0.0
27,Arkansas,Cities,Berryville,0,0,0,0,5417,0,0,1,0,1.0,0.0,0.0
28,Arkansas,Cities,Cabot,0,0,0,0,24695,0,0,1,0,1.0,0.0,0.0
29,Arkansas,Cities,England,0,0,0,0,2806,0,1,0,0,1.0,0.0,0.0
30,Arkansas,Cities,Fairfield Bay,0,0,0,0,2295,0,0,1,0,1.0,0.0,0.0
31,Arkansas,Cities,Fort Smith,0,0,0,0,87821,0,0,0,2,1.0,0.0,1.0
32,Arkansas,Cities,Gurdon,0,0,0,0,2184,1,0,0,0,1.0,0.0,0.0
33,Arkansas,Cities,Marion,0,0,0,0,12258,0,0,1,0,0.0,0.0,1.0
34,Arkansas,Cities,North Little Rock,0,0,0,0,65398,0,1,0,0,1.0,0.0,0.0
35,Arkansas,Cities,Pine Bluff,0,0,0,0,46399,1,0,0,0,0.0,0.0,1.0
36,Arkansas,Cities,Rogers,0,0,0,0,59787,0,1,0,0,1.0,0.0,0.0
37,Arkansas,Cities,Sherwood,0,0,0,0,29900,1,0,0,0,1.0,0.0,0.0
38,Arkansas,Universities and Colleges,"""University of Arkansas",1,0,0,0,0,0,0,0,1,,,
39,Arkansas,Metropolitan Counties,Crawford,0,0,0,0,0,0,2,1,1,2.0,0.0,2.0
40,Arkansas,Metropolitan Counties,Faulkner,1,0,0,0,0,0,1,0,1,1.0,0.0,0.0
41,Arkansas,Metropolitan Counties,Lonoke,0,0,0,0,0,1,0,0,0,1.0,0.0,0.0
42,Arkansas,Metropolitan Counties,Pulaski,1,0,0,0,0,1,0,1,1,1.0,0.0,1.0
43,Arkansas,Metropolitan Counties,Sebastian,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0
44,Arkansas,Nonmetropolitan Counties,Greene,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0
45,Arkansas,Nonmetropolitan Counties,Pope,0,0,0,0,0,0,1,0,0,0.0,0.0,1.0
46,California,Cities,Adelanto,1,0,0,0,31165,1,0,1,0,1.0,0.0,0.0
47,California,Cities,Agoura Hills,0,0,0,0,20762,0,2,0,0,2.0,0.0,0.0
48,California,Cities,Alameda,0,0,0,0,76206,0,0,0,1,0.0,1.0,0.0
49,California,Cities,Alhambra,0,0,0,0,84710,0,0,0,1,1.0,0.0,0.0
50,California,Cities,Antioch,0,0,0,0,106447,1,1,0,0,2.0,0.0,0.0
51,California,Cities,Arcadia,0,0,0,0,57855,1,0,0,0,1.0,0.0,0.0
52,California,Cities,Atascadero,1,0,0,0,28938,0,0,1,1,1.0,0.0,0.0
53,California,Cities,Atwater,1,0,0,0,28906,0,1,0,0,0.0,0.0,0.0
54,California,Cities,Auburn,0,0,0,0,13779,0,1,0,0,1.0,0.0,0.0
55,California,Cities,Azusa,0,0,0,0,47754,0,0,1,0,1.0,0.0,0.0
56,California,Cities,Bakersfield,0,0,0,0,361859,0,0,2,1,2.0,1.0,0.0
57,California,Cities,Baldwin Park,0,0,0,0,76745,0,0,1,0,0.0,0.0,1.0
58,California,Cities,Banning,1,0,0,0,30503,0,0,1,0,0.0,0.0,0.0
59,California,Cities,Berkeley,1,0,0,0,116217,6,2,4,1,7.0,1.0,4.0
60,California,Cities,Beverly Hills,0,0,0,0,34780,1,0,0,0,0.0,1.0,0.0
61,California,Cities,Brentwood3,0,0,0,0,54301,0,1,2,1,4.0,0.0,0.0
62,California,Cities,Buena Park3,1,0,0,0,82632,0,1,0,1,0.0,0.0,1.0
63,California,Cities,Burbank,1,0,0,0,104727,1,2,2,0,1.0,1.0,2.0
64,California,Cities,Calabasas,0,0,0,0,24114,1,0,0,1,0.0,2.0,0.0
65,California,Cities,Camarillo,0,0,0,0,66173,1,1,1,0,2.0,1.0,0.0
66,California,Cities,Campbell,0,0,0,0,40549,0,1,0,0,1.0,0.0,0.0
67,California,Cities,Carlsbad,1,0,0,0,110505,0,0,3,0,1.0,1.0,0.0
68,California,Cities,Carson,0,0,0,0,93415,0,0,0,1,1.0,0.0,0.0
